Catalog Number	Species	Collector	Collection Date	Location
125230	1240218 Pedicularis lanceolata 		 Orobanchaceae	Elizabeth C. Almendinger	: 09/00/1860
125231	1240219 Pedicularis lanceolata 		 Orobanchaceae	Elizabeth C. Almendinger	: 09/09/1879
125234	1240222 Pedicularis lanceolata 		 Orobanchaceae	Carl D. LaRue	: 09/09/1915
125238	1242001 Conopholis americana 		 Orobanchaceae	A.J. Pieters	: 06/01/1894
125249	1240292 Penstemon digitalis 		 Plantaginaceae	Frederick J. Hermann	9502: 06/21/1938
125341	1240529 Verbascum phlomoides 		 Scrophulariaceae	Edward G. Voss	11371: 08/30/1963
125346	1241999 Conopholis americana 		 Orobanchaceae	Carl D. LaRue	: 08/18/1915
125381	1241417 Veronica chamaedrys 		 Plantaginaceae	John H. Ehlers	1887: 05/17/1922
125385	1243116 Plantago lanceolata 		 Plantaginaceae	F.G. Gustafson & M. Best	: 08/20/1924
125387	1243118 Plantago lanceolata 		 Plantaginaceae	Carl O. Grassl	7839: 06/08/1933
125409	1242137 Orobanche uniflora 		 Orobanchaceae	Elizabeth C. Almendinger	: 06/08/1861
125410	1242138 Orobanche uniflora 		 Orobanchaceae	Eileen W. Erlanson	5090: 06/14/1927
125412	1242143 Orobanche uniflora 		 Orobanchaceae	Frederick J. Hermann	9492: 06/02/1938
125413	1242141 Orobanche uniflora 		 Orobanchaceae	Carl D. LaRue	: 07/03/1915
125414	1242139 Orobanche uniflora 		 Orobanchaceae	Edwin B. Mains	: 07/02/1915
125415	1242145 Orobanche uniflora 		 Orobanchaceae	George D. Sones	: 06/00/1891
125416	1242140 Orobanche uniflora 		 Orobanchaceae	John Wright	s.n.: 06/19/1838
125434	1243038 Plantago cordata 		 Plantaginaceae	John H. Ehlers	Collector number for State and Federally listed rare plants not displayed: Collection date for State and Federally listed rare plants not displayed
124873	 Epifagus virginiana 		 Orobanchaceae	Frederick J. Hermann	7360: 11/06/1935
124874	1242094 Epifagus virginiana 		 Orobanchaceae	Carl D. LaRue	: 09/04/1915
124993	1242096 Epifagus virginiana 		 Orobanchaceae	Elizabeth C. Almendinger	: 08/00/1864
124994	1242095 Epifagus virginiana 		 Orobanchaceae	Elizabeth C. Almendinger	: 09/23/1873
125000	1242991 Plantago aristata 		 Plantaginaceae	F.G. Gustafson	: 08/04/1923
125011	1242000 Conopholis americana 		 Orobanchaceae	Frederick J. Hermann	9363: 09/27/1937
125013	1242004 Conopholis americana 		 Orobanchaceae	L.N. Johnson	: 05/25/1894
125030	1240193 Pedicularis canadensis 		 Orobanchaceae	Carl O. Grassl	4868: 05/16/1932
125058	1240303 Penstemon digitalis 		 Plantaginaceae	Charles A. Davis	: 06/19/1903
125096	1240086 Mimulus ringens 		 Phrymaceae	Nathan H. Winchell	: 07/12/1862
125097	1240097 Mimulus ringens 		 Phrymaceae	Carl D. LaRue	: 08/07/1915
125098	1240087 Mimulus ringens 		 Phrymaceae	F.G. Gustafson	: 07/22/1923
125131	1240365 Penstemon hirsutus 		 Plantaginaceae	A.B. Lyons, M.D.	: 00/00/1869
