"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-17","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-18","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-19","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-20","0.10"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-21","0.18"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-22","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-23","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-24","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-25","0.35"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-26","0.91"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-27","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-28","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-29","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-09-30","0.06"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-10-01","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-10-02","0.34"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-10-03","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-10-04","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-10-05","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-10-06","0.89"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-10-07","0.68"
