STATION,STATION_NAME,DATE,HPCP
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 18:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 20:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010515 22:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010516 02:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010516 03:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010516 04:00,0.40
COOP:200230,ANN ARBOR U OF MICH MI US,20010516 05:00,0.30
COOP:200230,ANN ARBOR U OF MICH MI US,20010516 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010518 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010518 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010521 07:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010521 09:00,0.20
COOP:200230,ANN ARBOR U OF MICH MI US,20010521 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010524 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010524 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010524 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20010525 08:00,0.10
